# time, ra, dec, loc
2022-01-06T22:57:00,23:11:16,-15:04:37,JLM
2022-01-09T18:20:00,2:14:27.3,9:32:00.4,JLM
2022-01-09T19:30:00,2:15:53.6,9:51:16.4,JLM
2022-01-09T20:19:00,2:16:46.33,9:53:29.5,JLM
2022-01-10T00:17:00,2:20:49.54,10:55:41.1,JLM
2022-01-10T01:33:00,2:24:16.17,11:30:52.0,JLM
2022-01-11T02:01:00,3:05:18.06,16:48:15.5,JLM
2022-01-12T01:54:00,3:39:51.72,20:26:34.1,JLM
2022-01-13T01:02:00,4:08:43.33,22:32:55.2,JLM
2022-01-14T01:18:00,4:38:11.6,24:34:42.7,JLM
2022-01-15T01:46:00,5:08:05.21,26:19:04.9,JLM
2022-01-15T23:39:00,5:39:18.5,26:49:17.9,JLM
2022-01-16T01:24:00,5:40:23.1,27:07:01.2,JLM
2022-01-16T21:35:00,6:13:51.55,27:35:15.8,JLM
2022-01-17T01:07:00,6:17:46.12,27:36:24.1,JLM
2022-01-18T00:09:00,6:57:44.39,27:35:07.4,JLM
